VFC,monter,steigt,stieg,ist gestiegen,steigen,
V,montrer,zeigen,,,,
VFC,mourir,stirbt,starb,ist gestorben,sterben,
VFC,nager,schwimmt,schwamm,ist geschwommen,schwimmen,
VFC,obliger,zwingt,zwang,hat gezwungen,zwingen,
V,occuper,sich kümmern um,,,,
VFC,offrir enchérir,bietet,bot,hat geboten,bieten,
N,ordinateur,Der Computer,,,,
VFC,ordonner,befiehlt,befahl,hat befohlen,befehlen,
A,original,ausgefallen,,,,
VFC,oublier,vergisst,vergass,hat vergessen,vergessen,2022
V,ouvrir,öffnen,,,,
N,parents,Die Eltern,,,,
V,parler s'exprimer,reden,,,,
A,particulièrement,besonders,,,,
A,partout,überall,,,,
V,passer (du temps),verbringen,,,,
A,pauvre,arm,,,,
N,pauvreté,Die Armut,,,,
V,payer,bezahlen,,,,
N,paysage,Die Landschaft,,,,
V,peindre,malen,,,,
N,peintre,Der Maler,,,,
N,peinture,Das Bild,,,,
N,peinture,Das Gemäld,,,,
VFC,penser,denkt,dachte,hat gedacht,denken,
VFC,penser à,denkt an,dachte an,hat gedacht an,denken,
A,pensif,nachdenklich,,,,
N,père,Der Vater,,,,
N,performance,Die Leistung,,,,
A,performant,leistrungfähig,,,,
A,performant,leistungsfähig,,,,
A,peu,wenig,,,,
A,peut-être,vielleicht,,,,
N,photo,Das Foto,,,,
V,photographier,fotografieren,,,,
VFC,plaire,gefällt,gefiel,hat gefallen,gefallen,
V,planifier,planen,,,,
V,porter,tragen,,,,
V,poser,stellen,,,,
V,poser une question,fragen stellen,,,,
N,possibilité,Die Möglichkeit,,,,2022
A,possible,möglich,,,,
V,pouvoir,können,,,,
VFC,prendre,nimmt,nahm,hat genommen,nehmen,
VFC,prendre au sérieux,nimmt ernst,nahm ernst,hat ernstgenommen,ernst nehmen,
N,présent,Die Gegenwart,,,,2022
VFC,préter,leiht,lieh,hat geliehen,leihen,
N,prix,Der Preis,,,,
V,produire (un effet),bewirken,,,,
VFC,profiter (de qqc),genießt,genoss,hat genossen,genießen,
N,progrès,Der Fortschritt,,,,2022
N,protection,Der schutz,,,,
V,protéger,schützen,,,,
N,question,Die Frage,,,,
N,quotidien,Der Alltag,,,,
A,racoller,reißerisch,,,,
V,raconter,erzählen,,,,
N,récit rapport,Der Bericht,,,,
V,recommander,empfehlen,,,,
V,regarder,schauen,,,,
VFC,rencontrer / cibler,trifft,traf,hat getroffen,treffen,
V,répondre,antworten,,,,
V,représenter,dar stellen,,,,
VFC,ressentir,empfindet,empfand,hat empfunden,empfinden,
N,restaurant,Das Gasthaus,,,,
N,restaurant,Das Restaurant,,,,
VFC,rester,bleibt,blieb,ist geblieben,bleiben,
N,retraite,Die Rente,,,,
V,revenir,zurück kehren,,,,2022
N,revenue,Das Einkommen,,,,
A,rigolo marrant,lustig,,,,
V,s'amuser,Spaß haben,,,,
VFC,s'appeller,heißt,hieß,hat geheißen,heißen,
V,s'ennuyer,sich langweilen,,,,
V,s'imaginer / se présenter,vorstellen,,,,
V,s'occuper de,sich kümmern um,,,,
N,salaire,Der Lohn,,,,
A,salut au revoir,tschüss,,,,
VFC,sauter,springt,sprang,hat gesprungen,springen,
V,sauver,retten,,,,2022
VFC,savoir,weißt,wusste,hat gewusst,wissen,
N,sculture,Die Skulptur,,,,
V,se détendre,chillen,,,,
V,se mobiliser,sich für setzen,,,,
V,se moquer,sich lustig machen,,,,
V,se passer,geschehen,,,,
V,se rappeler,sich erinnern an,,,,
V,se sentir,sich fühlen,,,,
VFC,se taire,schweigt,schwieg,hat geschwiegen,schweigen,
V,se tenir les coudes,zusammen halten,,,,
VFC,se trouver / être couché,liegt,lag,hat gelegen,liegen,
N,semaine,Die Woche,,,,
A,sens,Sinn,,,,
A,seul psycologique,einsam,,,,
V,signifier,bedeuten,,,,2022
N,soif,Der Durst,,,,
N,souffrance,Das Leid,,,,
V,souffrire,leiden,,,,
A,souvent,oft,,,,
N,spectateur,Der Zuschauer,,,,
N,succès,Der Erfolg,,,,
A,sûr / sûrement,sicher,,,,
N,temps,Die Zeit,,,,
VFC,tenir s'arrêter,hält,hielt,hat gehalten,halten,
V,tenir serré dans ses bras,fest halten,,,,
N,thé,Der Tee,,,,
VFC,tirer infuser,zieht,zog,hat gezogen,ziehen,
VFC,tomber,fällt,field,ist gefallen,fallen,2022
A,toujours,immer,,,,
V,transformer,verwandeln,,,,
V,transmettre,vermitteln,,,,
N,travail,Die Arbeit,,,,
V,travailler,arbeiten,,,,
N,tribunal,Das Gericht,,,,
A,triste,traurig,,,,
VFC,trouver,findet,fand,hat gefunden,finden,
N,vacances,Die Ferien,,,,
N,valeur,Der Wert,,,,2022
VFC,valoir,gilt,galt,hat gegolten,gelten,
VFC,venir,kommt,kam,ist gekommen,kommen,
N,victime,Das Opfer,,,,
A,violent,gewalt,,,,2022
V,visiter,besuchen,,,,
N,visiteur,Der Besucher,,,,
V,vivre (une expérience),erleben,,,,
V,voir,sehen,,,,
N,voisin,Der Nachbar,,,,
VFC,voler (halal),fliegt,flog,hat geflogen,fliegen,
V,voler (haram),stehlen,,,,
V,voyager,reisen,,,,
A,vrai réel,echt,,,,
