VC,voler : conjugué (il) > er (...),er fliegt,voler
VC,voler : conjugué (il) > er (...),er stiehlt,voler
VC,voyager : conjugué (il) > er (...),er reist,voyager
VCF,apprendre (sur qqc) : conjugué (il) > er (...),er erfährt,apprendre (sur qqc)
VCF,battre frapper : conjugué (il) > er (...),er schlägt,battre frapper
VCF,conseiller deviner : conjugué (il) > er (...),rät,conseiller deviner
VCF,disparaître : conjugué (il) > er (...),er verschwindet,disparaître
VCF,donner : conjugué (il) > er (...),er gibt,donner
VCF,dormir : conjugué (il) > er (...),er schläft,dormir
VCF,faire de la pub : conjugué (il) > er (...),er wirbt,faire de la pub
VCF,fermer : conjugué (il) > er (...),er schließt,fermer
VF,aider,helfen,
VF,battre frapper,schlagen,
VF,casser,brechen,
VF,comparer,vergleichen,
VF,crée,schaffen,
VF,crier,schreien,
VF,croître grandir,wachsen,
VF,disparaître,verschwinden,
VF,donner,geben,
VF,dormir,schlafen,
VF,faire de la pub,werben,
VF,fermer,schließen,
VF,insister signaler,hervor heben,
VF,jeter,werfen,
VF,laver,waschen,
VF,location,leihen,
VF,mourir,sterben,
VF,obliger,zwingen,
VF,offrir enchérir,bieten,
VF,oublier,vergessen,
VF,parler,sprechen,
VF,perdre,verlieren,
VF,plaire,gefallen,
VF,porter,tragen,
VF,poser,stellen,
VF,profiter (de qqc),genießen,
VF,sauter,springen,
VF,se passer,geschehen,
VF,se taire,schweigen,
VF,souffrire,leiden,
VF,tirer infuser,ziehen,
VF,valoir,gelten,
